evaluable_ca,frame_evaluable,frame_has_inversion,frame_index,inverted_ca,path,side,system
17,True,False,22,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,23,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,24,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,25,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,26,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,27,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,28,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,29,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,30,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,31,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,False,32,0,trpcage_duet_seed223_p3,raw,trpcage
17,True,True,0,7,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,1,4,trpcage_duet_seed223_p3,relaxed,trpcage
16,True,True,2,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,3,9,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,4,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,5,5,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,6,1,trpcage_duet_seed223_p3,relaxed,trpcage
16,True,False,7,0,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,8,3,trpcage_duet_seed223_p3,relaxed,trpcage
16,True,True,9,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,10,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,11,5,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,False,12,0,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,13,4,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,14,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,15,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,16,4,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,17,6,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,18,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,19,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,20,1,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,False,21,0,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,22,3,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,23,1,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,24,4,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,False,25,0,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,26,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,27,1,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,28,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,29,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,30,2,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,31,1,trpcage_duet_seed223_p3,relaxed,trpcage
17,True,True,32,1,trpcage_duet_seed223_p3,relaxed,trpcage
26,True,False,0,0,bba_duet_seed223_p1,raw,bba
26,True,False,1,0,bba_duet_seed223_p1,raw,bba
26,True,False,2,0,bba_duet_seed223_p1,raw,bba
26,True,False,3,0,bba_duet_seed223_p1,raw,bba
26,True,False,4,0,bba_duet_seed223_p1,raw,bba
26,True,False,5,0,bba_duet_seed223_p1,raw,bba
26,True,False,6,0,bba_duet_seed223_p1,raw,bba
26,True,False,7,0,bba_duet_seed223_p1,raw,bba
26,True,False,8,0,bba_duet_seed223_p1,raw,bba
26,True,False,9,0,bba_duet_seed223_p1,raw,bba
26,True,False,10,0,bba_duet_seed223_p1,raw,bba
26,True,False,11,0,bba_duet_seed223_p1,raw,bba
26,True,False,12,0,bba_duet_seed223_p1,raw,bba
26,True,False,13,0,bba_duet_seed223_p1,raw,bba
26,True,False,14,0,bba_duet_seed223_p1,raw,bba
26,True,False,15,0,bba_duet_seed223_p1,raw,bba
26,True,False,16,0,bba_duet_seed223_p1,raw,bba
26,True,False,17,0,bba_duet_seed223_p1,raw,bba
26,True,False,18,0,bba_duet_seed223_p1,raw,bba
26,True,False,19,0,bba_duet_seed223_p1,raw,bba
26,True,False,20,0,bba_duet_seed223_p1,raw,bba
26,True,False,21,0,bba_duet_seed223_p1,raw,bba
26,True,False,22,0,bba_duet_seed223_p1,raw,bba
26,True,False,23,0,bba_duet_seed223_p1,raw,bba
26,True,False,24,0,bba_duet_seed223_p1,raw,bba
26,True,False,25,0,bba_duet_seed223_p1,raw,bba
26,True,False,26,0,bba_duet_seed223_p1,raw,bba
26,True,False,27,0,bba_duet_seed223_p1,raw,bba
26,True,False,28,0,bba_duet_seed223_p1,raw,bba
26,True,False,29,0,bba_duet_seed223_p1,raw,bba
26,True,False,30,0,bba_duet_seed223_p1,raw,bba
26,True,False,31,0,bba_duet_seed223_p1,raw,bba
26,True,False,32,0,bba_duet_seed223_p1,raw,bba
26,True,True,0,12,bba_duet_seed223_p1,relaxed,bba
26,True,True,1,11,bba_duet_seed223_p1,relaxed,bba
26,True,True,2,10,bba_duet_seed223_p1,relaxed,bba
26,True,True,3,7,bba_duet_seed223_p1,relaxed,bba
26,True,True,4,8,bba_duet_seed223_p1,relaxed,bba
26,True,True,5,8,bba_duet_seed223_p1,relaxed,bba
26,True,True,6,7,bba_duet_seed223_p1,relaxed,bba
26,True,True,7,8,bba_duet_seed223_p1,relaxed,bba
26,True,True,8,7,bba_duet_seed223_p1,relaxed,bba
26,True,True,9,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,10,7,bba_duet_seed223_p1,relaxed,bba
26,True,True,11,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,12,2,bba_duet_seed223_p1,relaxed,bba
26,True,True,13,3,bba_duet_seed223_p1,relaxed,bba
26,True,True,14,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,15,7,bba_duet_seed223_p1,relaxed,bba
26,True,True,16,3,bba_duet_seed223_p1,relaxed,bba
26,True,True,17,3,bba_duet_seed223_p1,relaxed,bba
26,True,True,18,3,bba_duet_seed223_p1,relaxed,bba
26,True,True,19,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,20,4,bba_duet_seed223_p1,relaxed,bba
26,True,True,21,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,22,5,bba_duet_seed223_p1,relaxed,bba
24,True,True,23,2,bba_duet_seed223_p1,relaxed,bba
26,True,True,24,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,25,3,bba_duet_seed223_p1,relaxed,bba
26,True,True,26,8,bba_duet_seed223_p1,relaxed,bba
26,True,True,27,2,bba_duet_seed223_p1,relaxed,bba
26,True,True,28,4,bba_duet_seed223_p1,relaxed,bba
26,True,True,29,4,bba_duet_seed223_p1,relaxed,bba
26,True,True,30,4,bba_duet_seed223_p1,relaxed,bba
26,True,True,31,5,bba_duet_seed223_p1,relaxed,bba
26,True,True,32,7,bba_duet_seed223_p1,relaxed,bba
26,True,False,0,0,bba_frozen_seed211_p0,raw,bba
26,True,False,1,0,bba_frozen_seed211_p0,raw,bba
26,True,False,2,0,bba_frozen_seed211_p0,raw,bba
26,True,False,3,0,bba_frozen_seed211_p0,raw,bba
26,True,False,4,0,bba_frozen_seed211_p0,raw,bba
